auction_id,vehicle_type,condition,market_value,bid_amount,ga_sales_tax,auction_fees,transport_cost,recon_cost,total_cost,profit,roi_percent
5,Honda Accord,Fair,12600.0,8949.22,581.7,536.95,410.03,1397.04,11874.94,725.06,6.11
26,Honda Accord,Fair,12600.0,9917.97,644.67,595.08,418.38,402.06,11978.16,621.84,5.19
32,BMW 3 Series,Fair,15400.0,11824.36,768.58,709.46,298.67,1150.74,14751.81,648.19,4.39
33,Toyota Camry,Fair,11200.0,8614.58,559.95,516.88,417.28,1037.89,11146.58,53.42,0.48
2,Hyundai Elantra,Poor,6000.0,3906.83,253.94,234.41,288.3,1305.28,5988.76,11.24,0.19
18,Hyundai Elantra,Poor,6000.0,4419.49,287.27,265.17,317.99,719.46,6009.37,-9.37,-0.16
21,Toyota Camry,Poor,8000.0,6080.15,395.21,364.81,315.81,938.14,8094.12,-94.12,-1.16
28,Hyundai Elantra,Fair,8400.0,6272.03,407.68,376.32,212.34,1286.48,8554.86,-154.86,-1.81
44,Toyota Camry,Fair,11200.0,8804.79,572.31,528.29,427.74,1335.24,11668.37,-468.37,-4.01
35,Nissan Altima,Poor,7000.0,5018.49,326.2,301.11,416.49,1434.4,7496.69,-496.69,-6.63
